CLASS;sub-class 1;sub-class 2;sub-class 3;sub-class 4;sub-class 5;Synonym;Modification proposée;NB DE RELATIONS POSITIVE (Facteurs de risque);NB DE RELATIONS NEGATIVES (Facteurs protecteurs)
DEAB;Dependence and Excessive Exercise;Excessive exercise;;;;;;;
DEAB;Disordered eating;;;;;;;;
DEAB;Disordered eating;Disordered eating attitudes;;;;;;;
DEAB;Disturbed eating attitudes and behaviors;;;;;;;;
DEAB;Eating attitudes;;;;;;;;
DEAB;Eating behavior;;;;;;;;
DEAB;Eating disorders;;;;;;;;
DEAB;Eating disorders;Anorexia;;;;;;;
DEAB;Eating disorders;Binge eating;;;;;;;
DEAB;Eating disorders;Bulimia;;;;;;;
DEAB;Eating disorders;Bulimia;Bulimia and food preoccupation;;;;;;
DEAB;Eating disorders;Bulimia;Bulimia modelling;;;;;;
DEAB;Eating disorders;Bulimia;Bulimic pathology;;;;;;
DEAB;Eating disorders;Bulimia;Bulimic symptomatology;;;;;;
DEAB;Eating disturbance;;;;;;;;
Interpersonal factor related to DEAB;;;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Frequency of receipt of anti-dieting advice;;;;;;5;
Interpersonal factor related to DEAB;Authority and Leadership Styles;;;;;;;;
Interpersonal factor related to DEAB;Authority and Leadership Styles;Coach's focus on results;;;;;;;
Interpersonal factor related to DEAB;Authority and Leadership Styles;Coach's negative feedback;;;;Coach leadership style negative feedback;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Modelled behavior;;;;;;1;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style vision;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style inspiration;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style instruction;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style individualization;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style support;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style positive feedback;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style active management;;;;;;;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style passive management;;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;;;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Childhood victimization;;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Coach conflict;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Coach interpersonal conflict;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Interpersonal conflict;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Parent conflict;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Teammate interpersonal conflict;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Discouragement/sabotage from friends to eat healthy;;;;;;3;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;;;;;;1;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;Attachment avoidance;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;Psychological control father;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;Parental influences;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;Psychological control mother;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Insensitivity to athletes well-being;;;;;;;
Interpersonal factor related to DEAB;External comments;;;;;;;;
Interpersonal factor related to DEAB;External comments;Severity of critical comment;;;;;;6;
Interpersonal factor related to DEAB;External comments;Severity of critical comment;Severity of critical comment about physical appearance;;;;;;
Interpersonal factor related to DEAB;External eating and Weight related concerns;;;;;;;;
Interpersonal factor related to DEAB;External eating and Weight related concerns;Importance of weight and appearance to family and friends;;;;;;1;
Interpersonal factor related to DEAB;External eating and Weight related concerns;Perceived encouragements for healthy eating habit;;;;;;;
Interpersonal factor related to DEAB;Motivational Climate;;;;;;;;
Interpersonal factor related to DEAB;Motivational Climate;Mastery climate;;;;;;;1
Interpersonal factor related to DEAB;Motivational Climate;Performance climate;;;;;;1;
Interpersonal factor related to DEAB;Positive relationships with significant others;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Athletes perceptions of power balances with their coach/training staff;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;Coach ability;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;Coach relationship quality;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;Coach support;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;Coach-athlete relationship;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;Coach social support;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Family environment;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Family of origin;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Family of origin autonomy;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Family of origin intimacy;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Maternal relationship;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Parent relationship quality;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Parental social support;;;Parent support;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Paternal relationship;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Depth of teammate relationships;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Peer social acceptance;;;;;;
