CLASS;sub-class 1;sub-class 2;sub-class 3;sub-class 4;sub-class 5;Synonym;Modification proposée;NB DE RELATIONS POSITIVE (Facteurs de risque);NB DE RELATIONS NEGATIVES (Facteurs protecteurs)
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;General internalization;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internality;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internalization in sport;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internalization of body shape model;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Muscular ideal internalization;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Sociocultural attitudes toward appearance-internalization;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Subjective norm related to gain muscle mass;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Thin ideal internalization;;Your body and sports;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Cognitive fusion body image;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Eating concern;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Importance of appearance beliefs;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Importance of appearance beliefs;Perceived importance of being physically fit and in-shape;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Importance of appearance beliefs;Perceived importance of being attractive and thin;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Muscularity-related intentions;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Muscularity-related intentions;Intention to gain muscle mass/to lean body mass;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Muscularity-related intentions;Intention to gain muscle mass;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Common humanity;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Global physical self;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Health orientation;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Illness orientation;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Impression construction;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Impression motivation;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Isolation;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Mindfulness;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Over identification;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Self-compassion;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Self-criticism;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Fitness and health/illness evaluation;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Self-criticism;Inadequate self;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Self-criticism;Hated self;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Self-esteem;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Self-judgment;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Self-kindness;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Global self-worth;Social desirability;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Thin-fat-self sport;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Thin-fat-self daily life;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Body image;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Body self;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Appearance evaluation;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Perception of one's own body and self;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Self consciousness of weight and appearance;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Self-objectivation;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Self-surveillance;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Weight and shape concern;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Size/symmetry concerns;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Concern with thinness;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Muscularity concern;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Overweight preoccupation;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Weight concern;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Shape concern;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Body concern;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Body image concerns;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Body shape concerns;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical condition;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical condition;Perceived physical ability;;Physical competence evaluation;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical condition;Physical fatigue;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical condition;Physical competence orientation;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical strength;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Athlete satisfaction;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Athletic self appraisal;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Satisfaction with current athletic performance;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Perceived competence;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Perceived athletic competence;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Global sport-state self-esteem;;;;;
Intrapersonal factor related to DEAB;Emotions;;;;;;;;
Intrapersonal factor related to DEAB;Emotions;Alexithymia;;;;;;;
Intrapersonal factor related to DEAB;Emotions;Alexithymia;Difficulty describing feelings;;;;;1;
Intrapersonal factor related to DEAB;Emotions;Alexithymia;Difficulty identifying feelings;;;;;3;
Intrapersonal factor related to DEAB;Emotions;Coping;;;;;;;
Intrapersonal factor related to DEAB;Emotions;Coping;Coping in sport;Athletic coping skills;;;;;
Intrapersonal factor related to DEAB;Emotions;Coping;Coping in sport;Athletic coping strategies;;;;;
Intrapersonal factor related to DEAB;Emotions;Coping;Emotion-focused coping;Coping with adversity;;;;;
Intrapersonal factor related to DEAB;Emotions;Coping;Emotion-focused coping;Freedom from worry;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;;;;;;15;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Effective emotion regulation;;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Effective emotion regulation;Recognition of emotion in others;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Effective emotion regulation;Cognitive reappraisal;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Difficulties engaging in goal-directed behavior;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Expressive suppression;;Emotional suppression;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Impulse control difficulties;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Lack of emotional awareness;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Lack of emotional clarity;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Limited access to emotional regulation strategies;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Non-acceptance of emotional responses;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Overfocus and emotional change;;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;;;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Adaptive emotional state;;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Adaptive emotional state;Positive affect;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Emotion dysregulation;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Emotional reaction;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Emotional reaction to critical comments about physical appearance;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Guilt/shame;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Guilt/shame;Guilt;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Guilt/shame;Guilt if skipping training;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Hostility;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Mood;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Mood;Mood modification;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Psychological fatigue;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Sad;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Somatization;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;;;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Appearance-related anxiety;;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Appearance-related anxiety;Appearance anxiety;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Appearance-related anxiety;Social physique anxiety;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Interpersonal anxiety;;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Interpersonal anxiety;Attachment anxiety;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Interpersonal anxiety;Social phobia;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;General anxiety;;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;General anxiety;Anxiety state;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;General anxiety;Anxiety trait;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Specific anxiety;;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Specific anxiety;Health anxiety;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Specific anxiety;Phobic anxiety;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;Competitive state anxiety;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;Performance anxiety;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;Performance Cognitive Anxiety;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;Threat perception;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Fear;;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Fear;Afraid of becoming fat;;;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Stress;;;Perceived stress;;;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Stress;Psychological stress;;;;;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;;;;;;;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of compensatory strategies;;;;;;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of food temptation;;;"Inability to control food cravings; Types of food";;;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of lack of anticipation of consequences on performance;;;;;;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of negative affect;;;Guilt/shame;;;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of social interaction;;;;;;
Intrapersonal factor related to DEAB;Locus of control;;;;;;;;
Intrapersonal factor related to DEAB;Locus of control;External locus;;;;;;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to chance;;;;;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to chance;External locus: luck;;;;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to chance;Fatalism;;;;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to powerful others;;;;;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to powerful others;External locus: coach and friends;;;;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to powerful others;External locus: family;;;;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to powerful others;Hetero dependence;;;;;
Intrapersonal factor related to DEAB;Locus of control;Internal locus of control;;;;;;;
Intrapersonal factor related to DEAB;Motivation;;;;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;;;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Mastery goal;;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Mastery goal;Mastery approach goal;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Mastery goal;Mastery avoidance goal;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Mastery goal;Task orientation;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Performance goal;;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Performance goal;Performance approach goal;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Performance goal;Performance avoidance goal;;;;;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Performance goal;Ego orientation;;;;;
Intrapersonal factor related to DEAB;Motivation;Basic psychological needs;;;;;;;
Intrapersonal factor related to DEAB;Motivation;Basic psychological needs;Basic needs frustration;Basic needs frustration in sport;;;;;
Intrapersonal factor related to DEAB;Motivation;Basic psychological needs;Basic needs satisfaction;;;;;;
Intrapersonal factor related to DEAB;Motivation;Basic psychological needs;Basic needs satisfaction;Basic needs satisfaction in sport;;;;;
Intrapersonal factor related to DEAB;Motivation;Basic psychological needs;Basic needs satisfaction;Perceived autonomy;;;;;
Intrapersonal factor related to DEAB;Motivation;Basic psychological needs;Basic needs satisfaction;Belongingness;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for eating behavior;;;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for eating behavior;Eating behavior self-determined motivational;;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for eating behavior;Eating behavior non-self determined motivational;;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;;;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Amotivation;;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;Assimilation;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;Autonomous motivation for sport;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;Commitment to exercise;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;Exercising for health/fitness;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;Identification;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;Intrinsic motivation;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;Positive exercise;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Autonomous forms for motivation;Harmonious passion toward an activity;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Body related motive;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Exercise to avoid negative affect;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Controlled motivation for sport;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Exercise for appearance;;Exercising for appearance;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Extrinsic regulation for sport;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Introjection;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Exercise to improve mood;;"Compulsive exercise mood improvement ; Exercising for mood management";;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Obligatory exercise;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Weight control;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Weight control exercise;;Compulsive exercise weight control;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Weight management motivation for exercise;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Appearance orientation;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Desire to be leaner to improve sport performance;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Obsessive passion toward an activity;;;;;
Intrapersonal factor related to DEAB;Motivation;Self-determination for sport;Controlled forms of motivation;Exercise for social;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;;;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Health perception;;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Health perception;Perception of health evaluation;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Health perception;Physical self concept of Health;;;Physical health;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Health perception;Psychosocial health;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Health perception;Health-related quality of life;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Well-being;;;;;;2;2
Intrapersonal factor related to DEAB;Perception of health and well-being;Well-being;Physical well-being;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Well-being;Psychological well-being;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Mental health;;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Mental health;Social dysfunction;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Mental health;Psychotic disorders;;;;;;
Intrapersonal factor related to DEAB;Perception of health and well-being;Mental health;Attention deficit hyperactivity disorders;;;;;;
Intrapersonal factor related to DEAB;Personality;;;;;;;;
Intrapersonal factor related to DEAB;Personality;Athlete identity;;;;;;5;2
Intrapersonal factor related to DEAB;Personality;Athlete identity;Exclusivity;;;;;;
Intrapersonal factor related to DEAB;Personality;Athlete identity;Exercise identity;;;;;5;
Intrapersonal factor related to DEAB;Personality;Athlete identity;Injury tolerance;;;;;1;
Intrapersonal factor related to DEAB;Personality;Athlete identity;Negative affectivity identity;;;;;2;
Intrapersonal factor related to DEAB;Personality;Athlete identity;Self-identity;;;;;2;
Intrapersonal factor related to DEAB;Personality;Athlete identity;Social identity;;;;;;
Intrapersonal factor related to DEAB;Personality;Confidence and trust;;;;;;;
Intrapersonal factor related to DEAB;Personality;Confidence and trust;Sport confidence;;;;;;2
Intrapersonal factor related to DEAB;Personality;Confidence and trust;Sport specific self-confidence;;;;;;
Intrapersonal factor related to DEAB;Personality;Confidence and trust;Team trust;;;;;;
Intrapersonal factor related to DEAB;Personality;Confidence and trust;Loss of confidence;;;;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;;;;;;11;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;;;;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;Conscientious perfectionism;;;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;Organization;;;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Concern over mistakes;;Concern over mistakes and doubts about actions;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Doubts about actions;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Evaluative concerns;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Negative perfectionism;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Negative reactions to imperfection;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Negative reactions to non-perfect performance during training;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Performance perfectionism;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Self-critical perfectionism;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Maladaptive perfectionism;Self-evaluative perfectionism;;;;3;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;Perfectionism self-oriented;;Self oriented perfectionism;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;Perfectionist aspirations during training;;;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;Personal standards;;;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;Positive perfectionism;;;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;Striving;;;;;
Intrapersonal factor related to DEAB;Personality;Perfectionism;Adaptive perfectionism;Striving for perfection;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;;;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Adaptive personality traits for the DEAB studies available to date;;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Adaptive personality traits for the DEAB studies available to date;Agreeableness;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Adaptive personality traits for the DEAB studies available to date;Conscientiousness;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Adaptive personality traits for the DEAB studies available to date;Emotional stability;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Adaptive personality traits for the DEAB studies available to date;Openness;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Authority;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Entitlement;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Exhibitionism;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Exploitativeness;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Extroversion;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Interpersonal sensitivity;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Narcissism;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Obsessive compulsive;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Psychological inflexibility;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Psychoticism;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Self-sufficiency;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Superiority;;;;;
Intrapersonal factor related to DEAB;Personality;Personality traits;Maladaptive personality traits for the DEAB studies available to date;Impulsiveness;;;;;
Intrapersonal factor related to DEAB;Psychopathological symptoms;;;;;;;;
Intrapersonal factor related to DEAB;Psychopathological symptoms;Addictiveness;;;;;;;
Intrapersonal factor related to DEAB;Psychopathological symptoms;Depression;;;;;;;
Intrapersonal factor related to DEAB;Psychopathological symptoms;Depression;Depressed/sad;;;;;;
Intrapersonal factor related to DEAB;Psychopathological symptoms;Depression;Depression Anxiety and Stress;;;Anxiety and depression;;;
Intrapersonal factor related to DEAB;Psychopathological symptoms;Depression;Depressive symptoms;;;;;;
Intrapersonal factor related to DEAB;Psychopathological symptoms;Exercise dependence;;;;;;;
Intrapersonal factor related to DEAB;Psychopathological symptoms;Exercise dependence;Exercise dependence continuance;;;;;;
